WARNING - METER - No observers have been added to this run
INFO - METER - Running command 'main'
INFO - METER - Started
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['roberta.pooler.dense.weight', 'roberta.pooler.dense.bias']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
HEREEEE
Load 3303 data from split(s) valid.
Load 3303 data from split(s) valid.

  0%|          | 0/3303 [00:00<?, ?it/s]
Text+: 8.64 | Text-: 8.64 | Image+: 45.91 | Image-: 45.91:   1%|          | 21/3303 [01:04<2:44:22,  3.01s/it]
Text+: 8.64 | Text-: 8.64 | Image+: 45.91 | Image-: 45.91:   1%|          | 22/3303 [01:04<2:38:11,  2.89s/it]
Text+: 8.26 | Text-: 8.26 | Image+: 48.26 | Image-: 48.26:   1%|          | 22/3303 [01:08<2:38:11,  2.89s/it]
Text+: 8.26 | Text-: 8.26 | Image+: 48.26 | Image-: 48.26:   1%|          | 23/3303 [01:08<2:50:48,  3.12s/it]
Text+: 7.92 | Text-: 7.92 | Image+: 50.42 | Image-: 50.42:   1%|          | 23/3303 [01:11<2:50:48,  3.12s/it]
Text+: 7.92 | Text-: 7.92 | Image+: 50.42 | Image-: 50.42:   1%|          | 24/3303 [01:11<2:50:01,  3.11s/it]
Text+: 7.6 | Text-: 7.6 | Image+: 48.4 | Image-: 48.4:   1%|          | 24/3303 [01:14<2:50:01,  3.11s/it]    
Text+: 7.6 | Text-: 7.6 | Image+: 48.4 | Image-: 48.4:   1%|          | 25/3303 [01:14<2:43:54,  3.00s/it]
Text+: 7.31 | Text-: 7.31 | Image+: 46.54 | Image-: 46.54:   1%|          | 25/3303 [01:17<2:43:54,  3.00s/it]
Text+: 7.31 | Text-: 7.31 | Image+: 46.54 | Image-: 46.54:   1%|          | 26/3303 [01:17<2:43:07,  2.99s/it]
Text+: 7.04 | Text-: 7.04 | Image+: 44.81 | Image-: 44.81:   1%|          | 26/3303 [01:19<2:43:07,  2.99s/it]
Text+: 7.04 | Text-: 7.04 | Image+: 44.81 | Image-: 44.81:   1%|          | 27/3303 [01:19<2:36:30,  2.87s/it]
Text+: 6.79 | Text-: 6.79 | Image+: 43.21 | Image-: 43.21:   1%|          | 27/3303 [01:22<2:36:30,  2.87s/it]
Text+: 6.79 | Text-: 6.79 | Image+: 43.21 | Image-: 43.21:   1%|          | 28/3303 [01:22<2:34:44,  2.83s/it]
Text+: 6.55 | Text-: 6.55 | Image+: 42.76 | Image-: 42.76:   1%|          | 28/3303 [01:25<2:34:44,  2.83s/it]
Text+: 6.55 | Text-: 6.55 | Image+: 42.76 | Image-: 42.76:   1%|          | 29/3303 [01:25<2:35:42,  2.85s/it]
Text+: 6.33 | Text-: 6.33 | Image+: 41.33 | Image-: 41.33:   1%|          | 29/3303 [01:28<2:35:42,  2.85s/it]
Text+: 6.33 | Text-: 6.33 | Image+: 41.33 | Image-: 41.33:   1%|          | 30/3303 [01:28<2:34:31,  2.83s/it]
Text+: 6.13 | Text-: 6.13 | Image+: 40.0 | Image-: 40.0:   1%|          | 30/3303 [01:31<2:34:31,  2.83s/it]  
Text+: 6.13 | Text-: 6.13 | Image+: 40.0 | Image-: 40.0:   1%|          | 31/3303 [01:31<2:41:11,  2.96s/it]
Text+: 6.87 | Text-: 6.87 | Image+: 38.75 | Image-: 38.75:   1%|          | 31/3303 [01:34<2:41:11,  2.96s/it]
Text+: 6.87 | Text-: 6.87 | Image+: 38.75 | Image-: 38.75:   1%|          | 32/3303 [01:34<2:42:56,  2.99s/it]
Text+: 6.67 | Text-: 6.67 | Image+: 40.61 | Image-: 40.61:   1%|          | 32/3303 [01:36<2:42:56,  2.99s/it]
Text+: 6.67 | Text-: 6.67 | Image+: 40.61 | Image-: 40.61:   1%|          | 33/3303 [01:37<2:37:30,  2.89s/it]
Text+: 6.47 | Text-: 6.47 | Image+: 40.29 | Image-: 40.29:   1%|          | 33/3303 [01:39<2:37:30,  2.89s/it]
Text+: 6.47 | Text-: 6.47 | Image+: 40.29 | Image-: 40.29:   1%|          | 34/3303 [01:40<2:34:56,  2.84s/it]
Text+: 6.29 | Text-: 6.29 | Image+: 39.14 | Image-: 39.14:   1%|          | 34/3303 [01:43<2:34:56,  2.84s/it]
Text+: 6.29 | Text-: 6.29 | Image+: 39.14 | Image-: 39.14:   1%|          | 35/3303 [01:43<2:47:20,  3.07s/it]
Text+: 6.11 | Text-: 6.11 | Image+: 38.06 | Image-: 38.06:   1%|          | 35/3303 [01:46<2:47:20,  3.07s/it]
Text+: 6.11 | Text-: 6.11 | Image+: 38.06 | Image-: 38.06:   1%|          | 36/3303 [01:46<2:41:43,  2.97s/it]
Text+: 5.95 | Text-: 5.95 | Image+: 39.73 | Image-: 39.73:   1%|          | 36/3303 [01:49<2:41:43,  2.97s/it]
Text+: 5.95 | Text-: 5.95 | Image+: 39.73 | Image-: 39.73:   1%|          | 37/3303 [01:49<2:43:45,  3.01s/it]
Text+: 5.79 | Text-: 5.79 | Image+: 41.32 | Image-: 41.32:   1%|          | 37/3303 [01:52<2:43:45,  3.01s/it]
Text+: 5.79 | Text-: 5.79 | Image+: 41.32 | Image-: 41.32:   1%|          | 38/3303 [01:52<2:40:31,  2.95s/it]
Text+: 5.64 | Text-: 5.64 | Image+: 40.26 | Image-: 40.26:   1%|          | 38/3303 [01:54<2:40:31,  2.95s/it]
Text+: 5.64 | Text-: 5.64 | Image+: 40.26 | Image-: 40.26:   1%|          | 39/3303 [01:54<2:36:39,  2.88s/it]
Text+: 5.5 | Text-: 5.5 | Image+: 39.25 | Image-: 39.25:   1%|          | 39/3303 [01:57<2:36:39,  2.88s/it]  
Text+: 5.5 | Text-: 5.5 | Image+: 39.25 | Image-: 39.25:   1%|          | 40/3303 [01:57<2:34:53,  2.85s/it]
Text+: 5.37 | Text-: 5.37 | Image+: 40.73 | Image-: 40.73:   1%|          | 40/3303 [02:00<2:34:53,  2.85s/it]
Text+: 5.37 | Text-: 5.37 | Image+: 40.73 | Image-: 40.73:   1%|          | 41/3303 [02:00<2:32:07,  2.80s/it]
Text+: 5.24 | Text-: 5.24 | Image+: 39.76 | Image-: 39.76:   1%|          | 41/3303 [02:03<2:32:07,  2.80s/it]
Text+: 5.24 | Text-: 5.24 | Image+: 39.76 | Image-: 39.76:   1%|▏         | 42/3303 [02:03<2:32:57,  2.81s/it]
Text+: 5.12 | Text-: 5.12 | Image+: 38.84 | Image-: 38.84:   1%|▏         | 42/3303 [02:06<2:32:57,  2.81s/it]
Text+: 5.12 | Text-: 5.12 | Image+: 38.84 | Image-: 38.84:   1%|▏         | 43/3303 [02:06<2:42:51,  3.00s/it]
Text+: 5.0 | Text-: 5.0 | Image+: 37.95 | Image-: 37.95:   1%|▏         | 43/3303 [02:09<2:42:51,  3.00s/it]  
Text+: 5.0 | Text-: 5.0 | Image+: 37.95 | Image-: 37.95:   1%|▏         | 44/3303 [02:09<2:39:01,  2.93s/it]
Text+: 4.89 | Text-: 4.89 | Image+: 37.11 | Image-: 37.11:   1%|▏         | 44/3303 [02:12<2:39:01,  2.93s/it]
Text+: 4.89 | Text-: 4.89 | Image+: 37.11 | Image-: 37.11:   1%|▏         | 45/3303 [02:12<2:41:10,  2.97s/it]
Text+: 4.78 | Text-: 4.78 | Image+: 36.3 | Image-: 36.3:   1%|▏         | 45/3303 [02:15<2:41:10,  2.97s/it]  
Text+: 4.78 | Text-: 4.78 | Image+: 36.3 | Image-: 36.3:   1%|▏         | 46/3303 [02:15<2:39:11,  2.93s/it]
Text+: 6.81 | Text-: 6.81 | Image+: 35.53 | Image-: 35.53:   1%|▏         | 46/3303 [02:18<2:39:11,  2.93s/it]
Text+: 6.81 | Text-: 6.81 | Image+: 35.53 | Image-: 35.53:   1%|▏         | 47/3303 [02:18<2:38:32,  2.92s/it]
Text+: 6.67 | Text-: 6.67 | Image+: 34.79 | Image-: 34.79:   1%|▏         | 47/3303 [02:20<2:38:32,  2.92s/it]
Text+: 6.67 | Text-: 6.67 | Image+: 34.79 | Image-: 34.79:   1%|▏         | 48/3303 [02:21<2:36:02,  2.88s/it]
Text+: 6.53 | Text-: 6.53 | Image+: 34.08 | Image-: 34.08:   1%|▏         | 48/3303 [02:23<2:36:02,  2.88s/it]
