WARNING - METER - No observers have been added to this run
INFO - METER - Running command 'main'
INFO - METER - Started
/home/crk/miniconda3/envs/ExAi/lib/python3.10/site-packages/huggingface_hub/file_download.py:1142: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['roberta.pooler.dense.weight', 'roberta.pooler.dense.bias']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
HEREEEE
Load 3303 data from split(s) valid.
Load 3303 data from split(s) valid.

  0%|          | 0/3303 [00:00<?, ?it/s]/home/crk/miniconda3/envs/ExAi/lib/python3.10/site-packages/transformers/modeling_utils.py:881: FutureWarning: The `device` argument is deprecated and will be removed in v5 of Transformers.
  warnings.warn(

Text+: 0.0 | Text-: 0.0 | Image+: 0.0 | Image-: 0.0:   0%|          | 0/3303 [00:05<?, ?it/s]
Text+: 0.0 | Text-: 0.0 | Image+: 0.0 | Image-: 0.0:   0%|          | 1/3303 [00:05<5:07:42,  5.59s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 0.0 | Image-: 0.0:   0%|          | 1/3303 [00:09<5:07:42,  5.59s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 0.0 | Image-: 0.0:   0%|          | 2/3303 [00:10<4:46:09,  5.20s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 33.33 | Image-: 33.33:   0%|          | 2/3303 [00:15<4:46:09,  5.20s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 33.33 | Image-: 33.33:   0%|          | 3/3303 [00:15<4:42:01,  5.13s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 50.0 | Image-: 50.0:   0%|          | 3/3303 [00:20<4:42:01,  5.13s/it]  
Text+: 0.0 | Text-: 0.0 | Image+: 50.0 | Image-: 50.0:   0%|          | 4/3303 [00:20<4:43:26,  5.16s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 60.0 | Image-: 60.0:   0%|          | 4/3303 [00:25<4:43:26,  5.16s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 60.0 | Image-: 60.0:   0%|          | 5/3303 [00:25<4:40:48,  5.11s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 50.0 | Image-: 50.0:   0%|          | 5/3303 [00:30<4:40:48,  5.11s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 50.0 | Image-: 50.0:   0%|          | 6/3303 [00:30<4:34:51,  5.00s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 57.14 | Image-: 57.14:   0%|          | 6/3303 [00:34<4:34:51,  5.00s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 57.14 | Image-: 57.14:   0%|          | 7/3303 [00:35<4:30:51,  4.93s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 62.5 | Image-: 62.5:   0%|          | 7/3303 [00:39<4:30:51,  4.93s/it]  
Text+: 0.0 | Text-: 0.0 | Image+: 62.5 | Image-: 62.5:   0%|          | 8/3303 [00:40<4:27:34,  4.87s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 62.22 | Image-: 62.22:   0%|          | 8/3303 [00:44<4:27:34,  4.87s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 62.22 | Image-: 62.22:   0%|          | 9/3303 [00:44<4:26:37,  4.86s/it]
Text+: 10.0 | Text-: 10.0 | Image+: 56.0 | Image-: 56.0:   0%|          | 9/3303 [00:49<4:26:37,  4.86s/it]
Text+: 10.0 | Text-: 10.0 | Image+: 56.0 | Image-: 56.0:   0%|          | 10/3303 [00:49<4:25:22,  4.84s/it]
Text+: 9.09 | Text-: 9.09 | Image+: 50.91 | Image-: 50.91:   0%|          | 10/3303 [00:54<4:25:22,  4.84s/it]
Text+: 9.09 | Text-: 9.09 | Image+: 50.91 | Image-: 50.91:   0%|          | 11/3303 [00:54<4:24:38,  4.82s/it]
Text+: 8.33 | Text-: 8.33 | Image+: 54.17 | Image-: 54.17:   0%|          | 11/3303 [00:58<4:24:38,  4.82s/it]
Text+: 8.33 | Text-: 8.33 | Image+: 54.17 | Image-: 54.17:   0%|          | 12/3303 [00:59<4:24:55,  4.83s/it]
Text+: 7.69 | Text-: 7.69 | Image+: 50.0 | Image-: 50.0:   0%|          | 12/3303 [01:03<4:24:55,  4.83s/it]  
Text+: 7.69 | Text-: 7.69 | Image+: 50.0 | Image-: 50.0:   0%|          | 13/3303 [01:04<4:22:23,  4.79s/it]
Text+: 7.14 | Text-: 7.14 | Image+: 53.57 | Image-: 53.57:   0%|          | 13/3303 [01:08<4:22:23,  4.79s/it]
Text+: 7.14 | Text-: 7.14 | Image+: 53.57 | Image-: 53.57:   0%|          | 14/3303 [01:08<4:24:36,  4.83s/it]
Text+: 6.67 | Text-: 6.67 | Image+: 54.0 | Image-: 54.0:   0%|          | 14/3303 [01:13<4:24:36,  4.83s/it]  
Text+: 6.67 | Text-: 6.67 | Image+: 54.0 | Image-: 54.0:   0%|          | 15/3303 [01:13<4:23:06,  4.80s/it]
Text+: 6.25 | Text-: 6.25 | Image+: 56.88 | Image-: 56.88:   0%|          | 15/3303 [01:18<4:23:06,  4.80s/it]
Text+: 6.25 | Text-: 6.25 | Image+: 56.88 | Image-: 56.88:   0%|          | 16/3303 [01:18<4:22:54,  4.80s/it]
Text+: 5.88 | Text-: 5.88 | Image+: 59.41 | Image-: 59.41:   0%|          | 16/3303 [01:22<4:22:54,  4.80s/it]
