WARNING - METER - No observers have been added to this run
INFO - METER - Running command 'main'
INFO - METER - Started
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
HEREEEE
Load 3303 data from split(s) valid.
Load 3303 data from split(s) valid.

  0%|          | 0/3303 [00:00<?, ?it/s]
Text+: 4.55 | Text-: 4.55 | Image+: 45.0 | Image-: 45.0:   1%|          | 21/3303 [01:31<3:44:48,  4.11s/it]  
Text+: 4.55 | Text-: 4.55 | Image+: 45.0 | Image-: 45.0:   1%|          | 22/3303 [01:32<3:45:32,  4.12s/it]
Text+: 4.35 | Text-: 4.35 | Image+: 43.04 | Image-: 43.04:   1%|          | 22/3303 [01:35<3:45:32,  4.12s/it]
Text+: 4.35 | Text-: 4.35 | Image+: 43.04 | Image-: 43.04:   1%|          | 23/3303 [01:36<3:45:50,  4.13s/it]
Text+: 4.17 | Text-: 4.17 | Image+: 43.75 | Image-: 43.75:   1%|          | 23/3303 [01:39<3:45:50,  4.13s/it]
Text+: 4.17 | Text-: 4.17 | Image+: 43.75 | Image-: 43.75:   1%|          | 24/3303 [01:40<3:45:41,  4.13s/it]
Text+: 4.0 | Text-: 4.0 | Image+: 42.0 | Image-: 42.0:   1%|          | 24/3303 [01:44<3:45:41,  4.13s/it]    
Text+: 4.0 | Text-: 4.0 | Image+: 42.0 | Image-: 42.0:   1%|          | 25/3303 [01:44<3:43:57,  4.10s/it]
Text+: 3.85 | Text-: 3.85 | Image+: 44.23 | Image-: 44.23:   1%|          | 25/3303 [01:48<3:43:57,  4.10s/it]
Text+: 3.85 | Text-: 3.85 | Image+: 44.23 | Image-: 44.23:   1%|          | 26/3303 [01:48<3:42:52,  4.08s/it]
Text+: 3.7 | Text-: 3.7 | Image+: 46.3 | Image-: 46.3:   1%|          | 26/3303 [01:51<3:42:52,  4.08s/it]    
Text+: 3.7 | Text-: 3.7 | Image+: 46.3 | Image-: 46.3:   1%|          | 27/3303 [01:52<3:40:24,  4.04s/it]
Text+: 3.57 | Text-: 3.57 | Image+: 44.64 | Image-: 44.64:   1%|          | 27/3303 [01:55<3:40:24,  4.04s/it]
Text+: 3.57 | Text-: 3.57 | Image+: 44.64 | Image-: 44.64:   1%|          | 28/3303 [01:56<3:40:06,  4.03s/it]
