WARNING - METER - No observers have been added to this run
INFO - METER - Running command 'main'
INFO - METER - Started
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['roberta.pooler.dense.weight', 'roberta.pooler.dense.bias']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
HEREEEE
Load 3303 data from split(s) valid.
Load 3303 data from split(s) valid.

  0%|          | 0/3303 [00:00<?, ?it/s]
Text+: 8.64 | Text-: 8.64 | Image+: 45.91 | Image-: 45.91:   1%|          | 21/3303 [01:19<3:12:31,  3.52s/it]
Text+: 8.64 | Text-: 8.64 | Image+: 45.91 | Image-: 45.91:   1%|          | 22/3303 [01:19<3:19:36,  3.65s/it]
Text+: 8.26 | Text-: 8.26 | Image+: 48.26 | Image-: 48.26:   1%|          | 22/3303 [01:22<3:19:36,  3.65s/it]
Text+: 8.26 | Text-: 8.26 | Image+: 48.26 | Image-: 48.26:   1%|          | 23/3303 [01:22<3:09:20,  3.46s/it]
Text+: 7.92 | Text-: 7.92 | Image+: 50.42 | Image-: 50.42:   1%|          | 23/3303 [01:25<3:09:20,  3.46s/it]
Text+: 7.92 | Text-: 7.92 | Image+: 50.42 | Image-: 50.42:   1%|          | 24/3303 [01:25<2:59:09,  3.28s/it]
Text+: 7.6 | Text-: 7.6 | Image+: 48.4 | Image-: 48.4:   1%|          | 24/3303 [01:28<2:59:09,  3.28s/it]    
Text+: 7.6 | Text-: 7.6 | Image+: 48.4 | Image-: 48.4:   1%|          | 25/3303 [01:28<3:04:49,  3.38s/it]
Text+: 7.31 | Text-: 7.31 | Image+: 46.54 | Image-: 46.54:   1%|          | 25/3303 [01:32<3:04:49,  3.38s/it]
Text+: 7.31 | Text-: 7.31 | Image+: 46.54 | Image-: 46.54:   1%|          | 26/3303 [01:32<3:13:12,  3.54s/it]
Text+: 7.04 | Text-: 7.04 | Image+: 44.81 | Image-: 44.81:   1%|          | 26/3303 [01:36<3:13:12,  3.54s/it]
Text+: 7.04 | Text-: 7.04 | Image+: 44.81 | Image-: 44.81:   1%|          | 27/3303 [01:36<3:19:46,  3.66s/it]
Text+: 6.79 | Text-: 6.79 | Image+: 43.21 | Image-: 43.21:   1%|          | 27/3303 [01:40<3:19:46,  3.66s/it]
Text+: 6.79 | Text-: 6.79 | Image+: 43.21 | Image-: 43.21:   1%|          | 28/3303 [01:40<3:19:56,  3.66s/it]
Text+: 6.55 | Text-: 6.55 | Image+: 42.76 | Image-: 42.76:   1%|          | 28/3303 [01:44<3:19:56,  3.66s/it]
Text+: 6.55 | Text-: 6.55 | Image+: 42.76 | Image-: 42.76:   1%|          | 29/3303 [01:44<3:25:37,  3.77s/it]
Text+: 6.33 | Text-: 6.33 | Image+: 41.33 | Image-: 41.33:   1%|          | 29/3303 [01:47<3:25:37,  3.77s/it]
Text+: 6.33 | Text-: 6.33 | Image+: 41.33 | Image-: 41.33:   1%|          | 30/3303 [01:47<3:13:58,  3.56s/it]
Text+: 6.13 | Text-: 6.13 | Image+: 40.0 | Image-: 40.0:   1%|          | 30/3303 [01:50<3:13:58,  3.56s/it]  
Text+: 6.13 | Text-: 6.13 | Image+: 40.0 | Image-: 40.0:   1%|          | 31/3303 [01:50<3:02:18,  3.34s/it]
Text+: 6.87 | Text-: 6.87 | Image+: 38.75 | Image-: 38.75:   1%|          | 31/3303 [01:53<3:02:18,  3.34s/it]
Text+: 6.87 | Text-: 6.87 | Image+: 38.75 | Image-: 38.75:   1%|          | 32/3303 [01:53<2:56:06,  3.23s/it]
Text+: 6.67 | Text-: 6.67 | Image+: 40.61 | Image-: 40.61:   1%|          | 32/3303 [01:55<2:56:06,  3.23s/it]
Text+: 6.67 | Text-: 6.67 | Image+: 40.61 | Image-: 40.61:   1%|          | 33/3303 [01:55<2:44:09,  3.01s/it]
Text+: 6.47 | Text-: 6.47 | Image+: 40.29 | Image-: 40.29:   1%|          | 33/3303 [01:58<2:44:09,  3.01s/it]
Text+: 6.47 | Text-: 6.47 | Image+: 40.29 | Image-: 40.29:   1%|          | 34/3303 [01:58<2:45:18,  3.03s/it]
Text+: 6.29 | Text-: 6.29 | Image+: 39.14 | Image-: 39.14:   1%|          | 34/3303 [02:01<2:45:18,  3.03s/it]
Text+: 6.29 | Text-: 6.29 | Image+: 39.14 | Image-: 39.14:   1%|          | 35/3303 [02:02<2:47:04,  3.07s/it]
Text+: 6.11 | Text-: 6.11 | Image+: 38.06 | Image-: 38.06:   1%|          | 35/3303 [02:05<2:47:04,  3.07s/it]
Text+: 6.11 | Text-: 6.11 | Image+: 38.06 | Image-: 38.06:   1%|          | 36/3303 [02:05<2:52:37,  3.17s/it]
Text+: 5.95 | Text-: 5.95 | Image+: 39.73 | Image-: 39.73:   1%|          | 36/3303 [02:09<2:52:37,  3.17s/it]
Text+: 5.95 | Text-: 5.95 | Image+: 39.73 | Image-: 39.73:   1%|          | 37/3303 [02:10<3:21:08,  3.70s/it]
Text+: 5.79 | Text-: 5.79 | Image+: 41.32 | Image-: 41.32:   1%|          | 37/3303 [02:13<3:21:08,  3.70s/it]
Text+: 5.79 | Text-: 5.79 | Image+: 41.32 | Image-: 41.32:   1%|          | 38/3303 [02:13<3:18:21,  3.65s/it]
Text+: 5.64 | Text-: 5.64 | Image+: 40.26 | Image-: 40.26:   1%|          | 38/3303 [02:16<3:18:21,  3.65s/it]
Text+: 5.64 | Text-: 5.64 | Image+: 40.26 | Image-: 40.26:   1%|          | 39/3303 [02:17<3:09:19,  3.48s/it]
Text+: 5.5 | Text-: 5.5 | Image+: 39.25 | Image-: 39.25:   1%|          | 39/3303 [02:19<3:09:19,  3.48s/it]  
Text+: 5.5 | Text-: 5.5 | Image+: 39.25 | Image-: 39.25:   1%|          | 40/3303 [02:19<2:59:20,  3.30s/it]
Text+: 5.37 | Text-: 5.37 | Image+: 40.73 | Image-: 40.73:   1%|          | 40/3303 [02:22<2:59:20,  3.30s/it]
Text+: 5.37 | Text-: 5.37 | Image+: 40.73 | Image-: 40.73:   1%|          | 41/3303 [02:22<2:51:18,  3.15s/it]
Text+: 5.24 | Text-: 5.24 | Image+: 39.76 | Image-: 39.76:   1%|          | 41/3303 [02:25<2:51:18,  3.15s/it]
Text+: 5.24 | Text-: 5.24 | Image+: 39.76 | Image-: 39.76:   1%|▏         | 42/3303 [02:26<2:55:23,  3.23s/it]
Text+: 5.12 | Text-: 5.12 | Image+: 38.84 | Image-: 38.84:   1%|▏         | 42/3303 [02:30<2:55:23,  3.23s/it]
Text+: 5.12 | Text-: 5.12 | Image+: 38.84 | Image-: 38.84:   1%|▏         | 43/3303 [02:30<3:12:31,  3.54s/it]
Text+: 5.0 | Text-: 5.0 | Image+: 37.95 | Image-: 37.95:   1%|▏         | 43/3303 [02:34<3:12:31,  3.54s/it]  
Text+: 5.0 | Text-: 5.0 | Image+: 37.95 | Image-: 37.95:   1%|▏         | 44/3303 [02:34<3:19:07,  3.67s/it]
Text+: 4.89 | Text-: 4.89 | Image+: 37.11 | Image-: 37.11:   1%|▏         | 44/3303 [02:37<3:19:07,  3.67s/it]
Text+: 4.89 | Text-: 4.89 | Image+: 37.11 | Image-: 37.11:   1%|▏         | 45/3303 [02:38<3:23:31,  3.75s/it]
Text+: 4.78 | Text-: 4.78 | Image+: 36.3 | Image-: 36.3:   1%|▏         | 45/3303 [02:41<3:23:31,  3.75s/it]  
Text+: 4.78 | Text-: 4.78 | Image+: 36.3 | Image-: 36.3:   1%|▏         | 46/3303 [02:42<3:28:15,  3.84s/it]
Text+: 6.81 | Text-: 6.81 | Image+: 35.53 | Image-: 35.53:   1%|▏         | 46/3303 [02:45<3:28:15,  3.84s/it]
Text+: 6.81 | Text-: 6.81 | Image+: 35.53 | Image-: 35.53:   1%|▏         | 47/3303 [02:46<3:30:51,  3.89s/it]
Text+: 6.67 | Text-: 6.67 | Image+: 34.79 | Image-: 34.79:   1%|▏         | 47/3303 [02:49<3:30:51,  3.89s/it]
Text+: 6.67 | Text-: 6.67 | Image+: 34.79 | Image-: 34.79:   1%|▏         | 48/3303 [02:50<3:31:13,  3.89s/it]
Text+: 6.53 | Text-: 6.53 | Image+: 34.08 | Image-: 34.08:   1%|▏         | 48/3303 [02:53<3:31:13,  3.89s/it]
Text+: 6.53 | Text-: 6.53 | Image+: 34.08 | Image-: 34.08:   1%|▏         | 49/3303 [02:54<3:32:49,  3.92s/it]
Text+: 6.4 | Text-: 6.4 | Image+: 35.4 | Image-: 35.4:   1%|▏         | 49/3303 [02:57<3:32:49,  3.92s/it]    
Text+: 6.4 | Text-: 6.4 | Image+: 35.4 | Image-: 35.4:   2%|▏         | 50/3303 [02:58<3:33:56,  3.95s/it]
Text+: 6.27 | Text-: 6.27 | Image+: 34.71 | Image-: 34.71:   2%|▏         | 50/3303 [03:01<3:33:56,  3.95s/it]
Text+: 6.27 | Text-: 6.27 | Image+: 34.71 | Image-: 34.71:   2%|▏         | 51/3303 [03:02<3:32:21,  3.92s/it]
Text+: 6.15 | Text-: 6.15 | Image+: 35.96 | Image-: 35.96:   2%|▏         | 51/3303 [03:05<3:32:21,  3.92s/it]
Text+: 6.15 | Text-: 6.15 | Image+: 35.96 | Image-: 35.96:   2%|▏         | 52/3303 [03:05<3:27:23,  3.83s/it]
Text+: 6.04 | Text-: 6.04 | Image+: 37.17 | Image-: 37.17:   2%|▏         | 52/3303 [03:09<3:27:23,  3.83s/it]
Text+: 6.04 | Text-: 6.04 | Image+: 37.17 | Image-: 37.17:   2%|▏         | 53/3303 [03:09<3:29:23,  3.87s/it]
Text+: 5.93 | Text-: 5.93 | Image+: 36.48 | Image-: 36.48:   2%|▏         | 53/3303 [03:12<3:29:23,  3.87s/it]
Text+: 5.93 | Text-: 5.93 | Image+: 36.48 | Image-: 36.48:   2%|▏         | 54/3303 [03:12<3:18:58,  3.67s/it]
Text+: 5.82 | Text-: 5.82 | Image+: 35.82 | Image-: 35.82:   2%|▏         | 54/3303 [03:15<3:18:58,  3.67s/it]
Text+: 5.82 | Text-: 5.82 | Image+: 35.82 | Image-: 35.82:   2%|▏         | 55/3303 [03:15<3:03:57,  3.40s/it]
Text+: 5.71 | Text-: 5.71 | Image+: 35.18 | Image-: 35.18:   2%|▏         | 55/3303 [03:18<3:03:57,  3.40s/it]
Text+: 5.71 | Text-: 5.71 | Image+: 35.18 | Image-: 35.18:   2%|▏         | 56/3303 [03:18<2:55:42,  3.25s/it]
Text+: 5.61 | Text-: 5.61 | Image+: 36.14 | Image-: 36.14:   2%|▏         | 56/3303 [03:21<2:55:42,  3.25s/it]
Text+: 5.61 | Text-: 5.61 | Image+: 36.14 | Image-: 36.14:   2%|▏         | 57/3303 [03:22<3:03:00,  3.38s/it]
Text+: 6.03 | Text-: 6.03 | Image+: 37.24 | Image-: 37.24:   2%|▏         | 57/3303 [03:25<3:03:00,  3.38s/it]
Text+: 6.03 | Text-: 6.03 | Image+: 37.24 | Image-: 37.24:   2%|▏         | 58/3303 [03:25<3:06:36,  3.45s/it]
Text+: 5.93 | Text-: 5.93 | Image+: 38.31 | Image-: 38.31:   2%|▏         | 58/3303 [03:28<3:06:36,  3.45s/it]
Text+: 5.93 | Text-: 5.93 | Image+: 38.31 | Image-: 38.31:   2%|▏         | 59/3303 [03:28<3:00:08,  3.33s/it]
Text+: 5.83 | Text-: 5.83 | Image+: 39.33 | Image-: 39.33:   2%|▏         | 59/3303 [03:31<3:00:08,  3.33s/it]
Text+: 5.83 | Text-: 5.83 | Image+: 39.33 | Image-: 39.33:   2%|▏         | 60/3303 [03:31<2:52:00,  3.18s/it]
Text+: 5.74 | Text-: 5.74 | Image+: 38.69 | Image-: 38.69:   2%|▏         | 60/3303 [03:34<2:52:00,  3.18s/it]
Text+: 5.74 | Text-: 5.74 | Image+: 38.69 | Image-: 38.69:   2%|▏         | 61/3303 [03:34<2:47:16,  3.10s/it]
Text+: 5.65 | Text-: 5.65 | Image+: 39.68 | Image-: 39.68:   2%|▏         | 61/3303 [03:37<2:47:16,  3.10s/it]
Text+: 5.65 | Text-: 5.65 | Image+: 39.68 | Image-: 39.68:   2%|▏         | 62/3303 [03:37<2:40:31,  2.97s/it]
Text+: 5.56 | Text-: 5.56 | Image+: 39.05 | Image-: 39.05:   2%|▏         | 62/3303 [03:39<2:40:31,  2.97s/it]
Text+: 5.56 | Text-: 5.56 | Image+: 39.05 | Image-: 39.05:   2%|▏         | 63/3303 [03:40<2:36:53,  2.91s/it]
Text+: 5.47 | Text-: 5.47 | Image+: 39.38 | Image-: 39.38:   2%|▏         | 63/3303 [03:43<2:36:53,  2.91s/it]
Text+: 5.47 | Text-: 5.47 | Image+: 39.38 | Image-: 39.38:   2%|▏         | 64/3303 [03:43<2:44:26,  3.05s/it]
Text+: 5.38 | Text-: 5.38 | Image+: 38.77 | Image-: 38.77:   2%|▏         | 64/3303 [03:47<2:44:26,  3.05s/it]
Text+: 5.38 | Text-: 5.38 | Image+: 38.77 | Image-: 38.77:   2%|▏         | 65/3303 [03:47<2:59:08,  3.32s/it]
Text+: 5.3 | Text-: 5.3 | Image+: 38.18 | Image-: 38.18:   2%|▏         | 65/3303 [03:50<2:59:08,  3.32s/it]  
Text+: 5.3 | Text-: 5.3 | Image+: 38.18 | Image-: 38.18:   2%|▏         | 66/3303 [03:50<2:56:30,  3.27s/it]
Text+: 5.22 | Text-: 5.22 | Image+: 38.51 | Image-: 38.51:   2%|▏         | 66/3303 [03:54<2:56:30,  3.27s/it]
Text+: 5.22 | Text-: 5.22 | Image+: 38.51 | Image-: 38.51:   2%|▏         | 67/3303 [03:54<3:07:47,  3.48s/it]
Text+: 5.15 | Text-: 5.15 | Image+: 37.94 | Image-: 37.94:   2%|▏         | 67/3303 [03:58<3:07:47,  3.48s/it]
Text+: 5.15 | Text-: 5.15 | Image+: 37.94 | Image-: 37.94:   2%|▏         | 68/3303 [03:58<3:16:12,  3.64s/it]
Text+: 5.07 | Text-: 5.07 | Image+: 38.84 | Image-: 38.84:   2%|▏         | 68/3303 [04:01<3:16:12,  3.64s/it]
Text+: 5.07 | Text-: 5.07 | Image+: 38.84 | Image-: 38.84:   2%|▏         | 69/3303 [04:01<3:03:30,  3.40s/it]
Text+: 5.0 | Text-: 5.0 | Image+: 39.57 | Image-: 39.57:   2%|▏         | 69/3303 [04:03<3:03:30,  3.40s/it]  
Text+: 5.0 | Text-: 5.0 | Image+: 39.57 | Image-: 39.57:   2%|▏         | 70/3303 [04:04<2:53:06,  3.21s/it]
Text+: 4.93 | Text-: 4.93 | Image+: 39.01 | Image-: 39.01:   2%|▏         | 70/3303 [04:06<2:53:06,  3.21s/it]
Text+: 4.93 | Text-: 4.93 | Image+: 39.01 | Image-: 39.01:   2%|▏         | 71/3303 [04:06<2:45:21,  3.07s/it]
Text+: 4.86 | Text-: 4.86 | Image+: 39.86 | Image-: 39.86:   2%|▏         | 71/3303 [04:10<2:45:21,  3.07s/it]
Text+: 4.86 | Text-: 4.86 | Image+: 39.86 | Image-: 39.86:   2%|▏         | 72/3303 [04:10<2:56:50,  3.28s/it]
Text+: 4.79 | Text-: 4.79 | Image+: 39.73 | Image-: 39.73:   2%|▏         | 72/3303 [04:13<2:56:50,  3.28s/it]
Text+: 4.79 | Text-: 4.79 | Image+: 39.73 | Image-: 39.73:   2%|▏         | 73/3303 [04:13<2:50:05,  3.16s/it]
Text+: 4.73 | Text-: 4.73 | Image+: 39.19 | Image-: 39.19:   2%|▏         | 73/3303 [04:16<2:50:05,  3.16s/it]
Text+: 4.73 | Text-: 4.73 | Image+: 39.19 | Image-: 39.19:   2%|▏         | 74/3303 [04:16<2:46:35,  3.10s/it]
Text+: 4.67 | Text-: 4.67 | Image+: 38.67 | Image-: 38.67:   2%|▏         | 74/3303 [04:19<2:46:35,  3.10s/it]
Text+: 4.67 | Text-: 4.67 | Image+: 38.67 | Image-: 38.67:   2%|▏         | 75/3303 [04:19<2:40:40,  2.99s/it]
Text+: 4.61 | Text-: 4.61 | Image+: 38.16 | Image-: 38.16:   2%|▏         | 75/3303 [04:22<2:40:40,  2.99s/it]
Text+: 4.61 | Text-: 4.61 | Image+: 38.16 | Image-: 38.16:   2%|▏         | 76/3303 [04:22<2:48:53,  3.14s/it]
Text+: 4.55 | Text-: 4.55 | Image+: 38.96 | Image-: 38.96:   2%|▏         | 76/3303 [04:25<2:48:53,  3.14s/it]
Text+: 4.55 | Text-: 4.55 | Image+: 38.96 | Image-: 38.96:   2%|▏         | 77/3303 [04:25<2:49:16,  3.15s/it]
Text+: 4.49 | Text-: 4.49 | Image+: 39.74 | Image-: 39.74:   2%|▏         | 77/3303 [04:28<2:49:16,  3.15s/it]
Text+: 4.49 | Text-: 4.49 | Image+: 39.74 | Image-: 39.74:   2%|▏         | 78/3303 [04:29<2:49:46,  3.16s/it]
Text+: 4.43 | Text-: 4.43 | Image+: 39.24 | Image-: 39.24:   2%|▏         | 78/3303 [04:33<2:49:46,  3.16s/it]
Text+: 4.43 | Text-: 4.43 | Image+: 39.24 | Image-: 39.24:   2%|▏         | 79/3303 [04:33<3:10:10,  3.54s/it]
Text+: 4.38 | Text-: 4.38 | Image+: 40.0 | Image-: 40.0:   2%|▏         | 79/3303 [04:36<3:10:10,  3.54s/it]  
Text+: 4.38 | Text-: 4.38 | Image+: 40.0 | Image-: 40.0:   2%|▏         | 80/3303 [04:37<3:11:50,  3.57s/it]
Text+: 4.32 | Text-: 4.32 | Image+: 40.74 | Image-: 40.74:   2%|▏         | 80/3303 [04:41<3:11:50,  3.57s/it]
Text+: 4.32 | Text-: 4.32 | Image+: 40.74 | Image-: 40.74:   2%|▏         | 81/3303 [04:41<3:22:44,  3.78s/it]
Text+: 4.63 | Text-: 4.63 | Image+: 40.24 | Image-: 40.24:   2%|▏         | 81/3303 [04:44<3:22:44,  3.78s/it]
Text+: 4.63 | Text-: 4.63 | Image+: 40.24 | Image-: 40.24:   2%|▏         | 82/3303 [04:45<3:24:39,  3.81s/it]
Text+: 4.58 | Text-: 4.58 | Image+: 40.96 | Image-: 40.96:   2%|▏         | 82/3303 [04:48<3:24:39,  3.81s/it]
Text+: 4.58 | Text-: 4.58 | Image+: 40.96 | Image-: 40.96:   3%|▎         | 83/3303 [04:49<3:27:18,  3.86s/it]
Text+: 4.52 | Text-: 4.52 | Image+: 40.83 | Image-: 40.83:   3%|▎         | 83/3303 [04:52<3:27:18,  3.86s/it]
Text+: 4.52 | Text-: 4.52 | Image+: 40.83 | Image-: 40.83:   3%|▎         | 84/3303 [04:52<3:23:40,  3.80s/it]
Text+: 4.47 | Text-: 4.47 | Image+: 40.35 | Image-: 40.35:   3%|▎         | 84/3303 [04:55<3:23:40,  3.80s/it]
Text+: 4.47 | Text-: 4.47 | Image+: 40.35 | Image-: 40.35:   3%|▎         | 85/3303 [04:55<3:11:49,  3.58s/it]
Text+: 4.42 | Text-: 4.42 | Image+: 41.05 | Image-: 41.05:   3%|▎         | 85/3303 [04:58<3:11:49,  3.58s/it]
Text+: 4.42 | Text-: 4.42 | Image+: 41.05 | Image-: 41.05:   3%|▎         | 86/3303 [04:58<2:59:53,  3.36s/it]
Text+: 4.37 | Text-: 4.37 | Image+: 41.72 | Image-: 41.72:   3%|▎         | 86/3303 [05:01<2:59:53,  3.36s/it]
Text+: 4.37 | Text-: 4.37 | Image+: 41.72 | Image-: 41.72:   3%|▎         | 87/3303 [05:01<2:49:41,  3.17s/it]
Text+: 4.32 | Text-: 4.32 | Image+: 42.39 | Image-: 42.39:   3%|▎         | 87/3303 [05:04<2:49:41,  3.17s/it]
Text+: 4.32 | Text-: 4.32 | Image+: 42.39 | Image-: 42.39:   3%|▎         | 88/3303 [05:04<2:48:08,  3.14s/it]
Text+: 4.61 | Text-: 4.61 | Image+: 41.91 | Image-: 41.91:   3%|▎         | 88/3303 [05:07<2:48:08,  3.14s/it]
