WARNING - METER - No observers have been added to this run
INFO - METER - Running command 'main'
INFO - METER - Started
/home/scis_user/.conda/envs/ExAi/lib/python3.10/site-packages/huggingface_hub/file_download.py:1142: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['roberta.pooler.dense.weight', 'roberta.pooler.dense.bias']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
HEREEEE
Load 3303 data from split(s) valid.
Load 3303 data from split(s) valid.

  0%|          | 0/3303 [00:00<?, ?it/s]/home/scis_user/.conda/envs/ExAi/lib/python3.10/site-packages/transformers/modeling_utils.py:881: FutureWarning: The `device` argument is deprecated and will be removed in v5 of Transformers.
  warnings.warn(

Text+: 5.0 | Text-: 5.0 | Image+: 40.0 | Image-: 40.0:   1%|          | 20/3303 [00:26<1:18:01,  1.43s/it]
Text+: 4.76 | Text-: 4.76 | Image+: 42.86 | Image-: 42.86:   1%|          | 20/3303 [00:28<1:18:01,  1.43s/it]
Text+: 4.76 | Text-: 4.76 | Image+: 42.86 | Image-: 42.86:   1%|          | 21/3303 [00:28<1:22:18,  1.50s/it]
Text+: 4.55 | Text-: 4.55 | Image+: 45.0 | Image-: 45.0:   1%|          | 21/3303 [00:29<1:22:18,  1.50s/it]  
Text+: 4.55 | Text-: 4.55 | Image+: 45.0 | Image-: 45.0:   1%|          | 22/3303 [00:30<1:20:51,  1.48s/it]
Text+: 4.35 | Text-: 4.35 | Image+: 43.04 | Image-: 43.04:   1%|          | 22/3303 [00:31<1:20:51,  1.48s/it]
Text+: 4.35 | Text-: 4.35 | Image+: 43.04 | Image-: 43.04:   1%|          | 23/3303 [00:31<1:24:22,  1.54s/it]
Text+: 4.17 | Text-: 4.17 | Image+: 43.75 | Image-: 43.75:   1%|          | 23/3303 [00:33<1:24:22,  1.54s/it]
Text+: 4.17 | Text-: 4.17 | Image+: 43.75 | Image-: 43.75:   1%|          | 24/3303 [00:33<1:21:38,  1.49s/it]
Text+: 4.0 | Text-: 4.0 | Image+: 42.0 | Image-: 42.0:   1%|          | 24/3303 [00:34<1:21:38,  1.49s/it]    
Text+: 4.0 | Text-: 4.0 | Image+: 42.0 | Image-: 42.0:   1%|          | 25/3303 [00:34<1:17:34,  1.42s/it]
Text+: 3.85 | Text-: 3.85 | Image+: 44.23 | Image-: 44.23:   1%|          | 25/3303 [00:35<1:17:34,  1.42s/it]
Text+: 3.85 | Text-: 3.85 | Image+: 44.23 | Image-: 44.23:   1%|          | 26/3303 [00:35<1:15:24,  1.38s/it]
Text+: 3.7 | Text-: 3.7 | Image+: 46.3 | Image-: 46.3:   1%|          | 26/3303 [00:36<1:15:24,  1.38s/it]    
Text+: 3.7 | Text-: 3.7 | Image+: 46.3 | Image-: 46.3:   1%|          | 27/3303 [00:36<1:13:48,  1.35s/it]
Text+: 3.57 | Text-: 3.57 | Image+: 44.64 | Image-: 44.64:   1%|          | 27/3303 [00:38<1:13:48,  1.35s/it]
Text+: 3.57 | Text-: 3.57 | Image+: 44.64 | Image-: 44.64:   1%|          | 28/3303 [00:38<1:12:40,  1.33s/it]
Text+: 3.45 | Text-: 3.45 | Image+: 43.1 | Image-: 43.1:   1%|          | 28/3303 [00:39<1:12:40,  1.33s/it]  
Text+: 3.45 | Text-: 3.45 | Image+: 43.1 | Image-: 43.1:   1%|          | 29/3303 [00:39<1:11:52,  1.32s/it]
Text+: 3.33 | Text-: 3.33 | Image+: 41.67 | Image-: 41.67:   1%|          | 29/3303 [00:40<1:11:52,  1.32s/it]
Text+: 3.33 | Text-: 3.33 | Image+: 41.67 | Image-: 41.67:   1%|          | 30/3303 [00:40<1:11:21,  1.31s/it]
Text+: 3.23 | Text-: 3.23 | Image+: 40.32 | Image-: 40.32:   1%|          | 30/3303 [00:41<1:11:21,  1.31s/it]
Text+: 3.23 | Text-: 3.23 | Image+: 40.32 | Image-: 40.32:   1%|          | 31/3303 [00:42<1:10:53,  1.30s/it]
Text+: 3.12 | Text-: 3.12 | Image+: 39.06 | Image-: 39.06:   1%|          | 31/3303 [00:43<1:10:53,  1.30s/it]
Text+: 3.12 | Text-: 3.12 | Image+: 39.06 | Image-: 39.06:   1%|          | 32/3303 [00:43<1:10:35,  1.29s/it]
Text+: 3.03 | Text-: 3.03 | Image+: 37.88 | Image-: 37.88:   1%|          | 32/3303 [00:44<1:10:35,  1.29s/it]
Text+: 3.03 | Text-: 3.03 | Image+: 37.88 | Image-: 37.88:   1%|          | 33/3303 [00:44<1:10:24,  1.29s/it]
Text+: 2.94 | Text-: 2.94 | Image+: 37.65 | Image-: 37.65:   1%|          | 33/3303 [00:45<1:10:24,  1.29s/it]
Text+: 2.94 | Text-: 2.94 | Image+: 37.65 | Image-: 37.65:   1%|          | 34/3303 [00:45<1:10:15,  1.29s/it]
Text+: 2.86 | Text-: 2.86 | Image+: 36.57 | Image-: 36.57:   1%|          | 34/3303 [00:47<1:10:15,  1.29s/it]
Text+: 2.86 | Text-: 2.86 | Image+: 36.57 | Image-: 36.57:   1%|          | 35/3303 [00:47<1:10:10,  1.29s/it]
